TLO_id,leg_id,filerIdent
A2100,TXL000214,19673
A2125,TXL000215,19681
A2135,TXL000216,24376
A2150,TXL000217,54808
A2155,TXL000218,51449
A2215,TXL000370,66277
A3555,TXL000683,70476
A2330,TXL000424,67800
A3200,TXL000693,80128
A2335,TXL000425,67547
A3110,TXL000517,70466
A3575,TXL000677,80113
A3015,TXL000497,69541
A2230,TXL000221,32585
A2250,TXL000223,32574
A2875,TXL000426,67723
A2195,TXL000373,65930
A2975,TXL000507,69548
A3055,TXL000500,70273
A2510,TXL000228,62309
A3265,TXL000696,69218
A2340,TXL000428,65230
A2345,TXL000429,65973
A2355,TXL000430,67818
A2435,TXL000235,19980
A2360,TXL000431,67957
A2450,TXL000236,51766
A2365,TXL000676,67628
A3215,TXL000697,80221
A2610,TXL000239,20051
A3125,TXL000516,70492
A2370,TXL000433,58331
A2645,TXL000242,51651
A2305,TXL000378,66272
A2625,TXL000244,19811
A3515,TXL000691,80046
A2690,TXL000245,39164
A2665,TXL000247,25843
A2650,TXL000249,21133
A2785,TXL000253,26729
A2955,TXL000506,67849
A2375,TXL000434,67539
A2810,TXL000257,26313
A2850,TXL000260,32881
A2385,TXL000436,67748
A2005,TXL000379,66260
A2945,TXL000264,29493
A3445,TXL000686,80284
A2935,TXL000265,20108
A2395,TXL000437,62004
A2080,TXL000381,65942
A2410,TXL000438,68004
A2020,TXL000695,65836
A2325,TXL000439,35579
A3045,TXL000268,51797
A3025,TXL000269,62485
A3505,TXL000689,80101
A3155,TXL000277,57411
A3140,TXL000278,54318
A3210,TXL000692,80440
A3205,TXL000690,80066
A3310,TXL000283,42130
A2285,TXL000385,65889
A3365,TXL000286,20493
A2070,TXL000386,66236
A2415,TXL000475,50675
A3345,TXL000289,65751
A3185,TXL000672,80580
A2445,TXL000441,67801
A2895,TXL000485,69715
A2455,TXL000442,67681
A3470,TXL000295,36483
A3465,TXL000294,21143
A2460,TXL000443,57431
A3070,TXL000491,69372
A2465,TXL000444,65897
A2310,TXL000387,66988
A3225,TXL000681,80253
A3040,TXL000490,69756
A3530,TXL000675,70774
A2245,TXL000389,25726
A3540,TXL000299,51273
A2475,TXL000445,67738
A2485,TXL000446,68271
A2065,TXL000391,65802
A3610,TXL000717,57767
A3780,TXL000308,54543
A2900,TXL000502,69477
A3075,TXL000504,69344
A2500,TXL000449,62278
A3135,TXL000519,70762
A3850,TXL000317,62850
A3870,TXL000318,32386
A2060,TXL000396,65967
A3875,TXL000397,24733
A2965,TXL000480,69565
A3235,TXL000684,80065
A2505,TXL000452,67786
A3880,TXL000320,20747
A3535,TXL000687,80010
A3545,TXL000682,58818
A2515,TXL000454,67675
A4090,TXL000325,58399
A3090,TXL000484,69502
A2535,TXL000679,68026
A2905,TXL000496,62288
A4160,TXL000329,52791
A4180,TXL000331,26389
A2185,TXL000402,66243
A2315,TXL000415,67602
A4215,TXL000334,21186
A2040,TXL000404,62098
A3080,TXL000493,65931
A3255,TXL000688,80039
A4270,TXL000338,41097
A2550,TXL000457,67615
A3060,TXL000509,69719
A2555,TXL000458,67987
A2715,TXL000459,67791
A2725,TXL000460,67583
A3095,TXL000510,57835
A3115,TXL000673,70460
A2995,TXL000495,69726
A2735,TXL000461,66222
A4455,TXL000685,26513
A2740,TXL000462,68046
A4530,TXL000344,20664
A2745,TXL000463,67769
A2755,TXL000464,38508
A2765,TXL000465,67904
A4565,TXL000347,19498
A3220,TXL000680,80276
A3425,TXL000694,80325
A3390,TXL000699,65781
A2815,TXL000466,67775
A4630,TXL000352,20791
A3065,TXL000499,69489
A4680,TXL000354,62790
A3435,TXL000698,80143
A2540,TXL000494,69367
A2855,TXL000470,67845
A4900,TXL000359,54795
A4930,TXL000360,62108
A2030,TXL000410,56322
A3525,TXL000678,80350
A2075,TXL000411,66075
A2890,TXL000481,69503
A2865,TXL000472,68103
A5150,TXL000412,41860
A5170,TXL000363,58497
