leg_id,filerIdent,TLO_id,first_name,last_name,suffix,ctaSeekOfficeCd
TXL000347,19498,A4565,Joe,Straus,,STATEREP
TXL000211,19581,A1650,John,Whitmire,,STATESEN
TXL000244,19811,A2305,Yvonne,Davis,,STATEREP
TXL000244,19811,A2625,Yvonne,Davis,,STATEREP
TXL000239,20051,A2610,Tom,Craddick,,STATEREP
TXL000265,20108,A2935,Helen,Giddings,,STATEREP
TXL000286,20493,A3365,Todd,Hunter,,STATEREP
TXL000199,20673,A1450,Jane,Nelson,,STATESEN
TXL000352,20791,A2815,Senfronia,Thompson,,STATEREP
TXL000352,20791,A4630,Senfronia,Thompson,,STATEREP
TXL000355,20872,A4680,Sylvester,Turner,,STATEREP
TXL000213,20971,A1700,Judith,Zaffirini,,STATESEN
TXL000210,20990,A1625,Royce,West,,STATESEN
TXL000249,21133,A2650,Harold,Dutton,,STATEREP
TXL000208,23391,A1610,Kirk,Watson,,STATESEN
TXL000216,24376,A2135,Carol,Alvarado,,STATEREP
TXL000389,25726,A2245,Lyle,Larson,,STATEREP
TXL000247,25843,A2665,Dawnna,Dukes,,STATEREP
TXL000257,26313,A2810,Jessica,Farrar,,STATEREP
TXL000685,26513,A4455,Hugh,Shine,,STATEREP
TXL000253,26729,A2785,Gary,Elkins,,STATEREP
TXL000223,32574,A2250,Dennis,Bonnen,,STATEREP
TXL000223,32574,A2875,Dennis,Bonnen,,STATEREP
TXL000221,32585,A2230,Dwayne,Bohac,,STATEREP
TXL000260,32881,A2850,Dan,Flynn,,STATEREP
TXL000190,33299,A1180,Craig,Estes,,STATESEN
TXL000200,35962,A1400,Robert,Nichols,,STATESEN
TXL000243,36263,A2305,John,Davis,,STATEREP
TXL000243,36263,A2625,John,Davis,,STATEREP
TXL000349,37036,A1030,Larry,Taylor,,STATESEN
TXL000349,37036,A1085,Larry,Taylor,,STATESEN
TXL000283,42130,A3310,Donna,Howard,,STATEREP
TXL000475,50675,A2415,Celia,Israel,,STATEREP
