TLO_id,leg_id,filerIdent,full_name,first_name,nickname,last_name,suffixes,party,district
A1055,TXL000482,69337,Paul Bettencourt,Paul,,Bettencourt,,Republican,7
A1080,TXL000364,62137,Brian Birdwell,Brian,,Birdwell,,Republican,22
A1125,TXL000705,69001,Dawn Buckingham,Dawn,,Buckingham,,Republican,24
A1090,TXL000487,69199,Konni Burton,Konni,,Burton,,Republican,10
A1010,TXL000419,67809,Donna Campbell,Donna,,Campbell,,Republican,25
A1040,TXL000240,51451,Brandon Creighton,Brandon,,Creighton,,Republican,4
A1180,TXL000190,33299,Craig Estes,Craig,,Estes,,Republican,30
A1035,TXL000473,68741,Sylvia R. Garcia,Sylvia R.,,Garcia,,Democrat,6
A1050,TXL000503,67980,Bob Hall,Bob,Bob,Hall,,Republican,2
A1015,TXL000271,57801,Kelly Hancock,Kelly,,Hancock,,Republican,9
A1250,TXL000195,13805,Juan Hinojosa,Juan,Chuy,Hinojosa,,Democrat,20
A1095,TXL000479,69651,Don Huffines,Don,Don,Huffines,,Republican,16
A1260,TXL000196,37510,Joan Huffman,Joan,,Huffman,,Republican,17
A1135,TXL000716,51630,Bryan Hughes,Bryan,,Hughes,,Republican,1
A1105,TXL000297,41354,Lois Kolkhorst,Lois W.,,Kolkhorst,,Republican,18
A1300,TXL000198,20257,"Eddie Lucio, Jr.",Eduardo A.,Eddie,Lucio,Jr.,Democrat,27
A1110,TXL000312,42411,José Menéndez,José,,Menéndez,,Democrat,26
A1115,TXL000707,52983,Borris L. Miles,Borris L.,,Miles,,Democrat,13
A1450,TXL000199,20673,Jane Nelson,Jane,,Nelson,,Republican,12
A1400,TXL000200,35962,Robert Nichols,Robert,,Nichols,,Republican,3
A1045,TXL000400,66066,Charles Perry,Charles,,Perry,,Republican,28
A1005,TXL000414,66091,José R. Rodríguez,José,,Rodríguez,,Democrat,29
A1025,TXL000405,65996,Charles Schwertner,Charles,,Schwertner,,Republican,5
A1460,TXL000203,52862,Kel Seliger,Kel,,Seliger,,Republican,31
A1030,TXL000349,37036,Larry Taylor,Larry,,Taylor,,Republican,11
A1085,TXL000350,66123,Van Taylor,Van,Van,Taylor,,Republican,8
A1605,TXL000206,35921,Carlos Uresti,Carlos I.,Charlie,Uresti,,Democrat,19
A1610,TXL000208,23391,Kirk Watson,Kirk,,Watson,,Democrat,14
A1625,TXL000210,20990,Royce West,Royce,,West,,Democrat,23
A1650,TXL000211,19581,John Whitmire,John,,Whitmire,,Democrat,15
A1700,TXL000213,20971,Judith Zaffirini,Judith,,Zaffirini,,Democrat,21
