TLO_id,leg_id,filerIdent
A1055,TXL000482,69337.0
A1080,TXL000364,62137.0
A1125,TXL000705,69001.0
A1090,TXL000487,69199.0
A1010,TXL000419,67809.0
A1040,TXL000240,51451.0
A1180,TXL000190,33299.0
A1035,TXL000473,68741.0
A1050,TXL000503,67980.0
A1015,TXL000271,57801.0
A1250,TXL000195,13805.0
A1095,TXL000479,69651.0
A1260,TXL000196,37510.0
A1135,TXL000716,51630.0
A1105,TXL000297,41354.0
A1300,TXL000198,20257.0
A1110,TXL000312,42411.0
A1115,TXL000707,52983.0
A1450,TXL000199,20673.0
A1400,TXL000200,35962.0
A1430,,
A1045,TXL000400,66066.0
A1005,TXL000414,66091.0
A1025,TXL000405,65996.0
A1460,TXL000203,52862.0
A1030,TXL000349,37036.0
A1085,TXL000350,66123.0
A1605,TXL000206,35921.0
A1610,TXL000208,23391.0
A1625,TXL000210,20990.0
A1650,TXL000211,19581.0
A1700,TXL000213,20971.0
