FullText,Position,Bill,LastName,FirstName,Role,Organization,City,State
"Parks, Ursula (Legislative Budget Board)",On,HB 2,Parks,Ursula,,Legislative Budget Board,,
"Pulver, Wayne (Texas Legislative Budget Board)",On,HB 2,Pulver,Wayne,,Texas Legislative Budget Board,,
"Rodell, Leora (Legislative Budget Board)",On,HB 2,Rodell,Leora,,Legislative Budget Board,,
"Ashley, Phillip (Comptroller)",On,HB 2,Ashley,Phillip,,Comptroller,,
"Borgstedte, Amy (Legislative Budget Board)",On,HB 2,Borgstedte,Amy,,Legislative Budget Board,,
"Keyton, Sarah (Legislative Budget Board)",On,HB 2,Keyton,Sarah,,Legislative Budget Board,,
"Wales, Michael (Legislative Budget Board)",On,HB 2,Wales,Michael,,Legislative Budget Board,,
"Keyton, Sarah (Legislative Budget Board)",On,HB 2,Keyton,Sarah,,Legislative Budget Board,,
"Parks, Ursula (Legislative Budget Board)",On,HB 2,Parks,Ursula,,Legislative Budget Board,,
"Pulver, Wayne (Legislative Budget Board)",On,HB 2,Pulver,Wayne,,Legislative Budget Board,,
"Carter, Bobbie   Physical Therapist  (Countryside Therapy Group, Inc.), Rising Star, TX",For,HB 2,Carter,Bobbie,Physical Therapist,"Countryside Therapy Group, Inc.",Rising Star,TX
"Castro, Amy   Asst. Speech Pathology  (also providing written testimony)  (Child's Play Home Health)",For,HB 2,Castro,Amy,Asst. Speech Pathology,Child's Play Home Health,,
"Hammon, Rachel   TX Association for Home Care & Hospice (TAHCH)  (TAHCH), Austin",For,HB 2,Hammon,Rachel,TX Association for Home Care & Hospice (TAHCH),TAHCH)  (TAHCH,,
"Montgomery, Laura   Occupational Therapist  (Countryside Therapy Group & Home Health), Stephenville",For,HB 2,Montgomery,Laura,Occupational Therapist,Countryside Therapy Group & Home Health,,
"West, Barbara   Director of Marketing -  (also providing written testimony)  (Circle of Care - Pediatric Therapy), Bulverde, TX",For,HB 2,West,Barbara,Director of Marketing -,Circle of Care - Pediatric Therapy,Bulverde,TX
"Adams, Josh   Atlas Pediatric Therapy, Small Business Owner Home Health Agency (Speech, Physical, Occupational Therapy Industry & Families), Arlington, TX",On,HB 2,Adams,Josh,"Atlas Pediatric Therapy, Small Business Owner Home Health Agency","Speech, Physical, Occupational Therapy Industry & Families",Arlington,TX
"Colbert, Paul   consultant  (also providing written testimony)  (Lee College), Houston, TX",On,HB 2,Colbert,Paul,consultant,Lee College,Houston,TX
"Mehta, Hannah   parent & exec director  (Protect TX Fragile Kids - 1700 families of medically fragile children), Flower Mound, TX",On,HB 2,Mehta,Hannah,parent & exec director,Protect TX Fragile Kids - 1700 families of medically fragile children,Flower Mound,TX
"Parks, Ursula    (LBB)",On,HB 2,Parks,Ursula,,LBB,,
"Riley, Jennifer   Therapy  (Sage Care Therapy), Dallas",On,HB 2,Riley,Jennifer,Therapy,Sage Care Therapy,,
"Rodell, Leora    (LBB)",On,HB 2,Rodell,Leora,,LBB,,
"Smith, Charles   Executive Commissioner  (Health and Human Services Commission), Austin, TX",On,HB 2,Smith,Charles,Executive Commissioner,Health and Human Services Commission,Austin,TX
"Thompson, Dustin   Pediatric Therapy  (KidsCare Therapy), Addison, TX",On,HB 2,Thompson,Dustin,Pediatric Therapy,KidsCare Therapy,Addison,TX
