Position,Bill,LastName,FirstName,Role,Organization,City,State
On,SB 1,Keyton,Sarah,,Legislative Budget Board,,
On,SB 1,Keyton,Sarah,,Legislative Bufget Board,,
On,SB 1,Aleman,Steven,specialist,Disability Rights Texas,Austin,TX
On,SB 1,Anger,Martha,(Filmmaker),Filmmaker)  (as an Alumni,Austin,TX
On,SB 1,Banks,Yannis,,Texas NAACP,,
On,SB 1,Benavides,Laida,ISD,United ISD & Coalition for Districts Experiencing Rapid Value Decline,,
On,SB 1,,,,United ISD & Coalition for Districts Experiencing Rapid Value Decline,Laredo,TX
On,SB 1,Berry,Traci,TX,Goodwill Excel Center,,
On,SB 1,Bugen,Claire,Superintendent,Texas School f/t Deaf,,
On,SB 1,Byer,Von,Counsel,Texas Education Hearing,,
On,SB 1,Carpenter,Dr. Clint,Dist.,Windham School District,,
On,SB 1,,,,,,
On,SB 1,Clarke,Debbie,engineer,Parent of Austin ISD students,,
On,SB 1,Cowan,Julie,trustee,myself / AISD,Austin,TX
On,SB 1,Daugherty,William,Superintendent,TX School f/t Blind & Visually Impaired,Austin,TX
On,SB 1,Dunn,David,Director,Texas Charter Schools Association,,
On,SB 1,Duron,Melissa,Mother,TSD,,
On,SB 1,Edgar,David,Finance,Austin ISD,Austin,TX
On,SB 1,Exter,Monty,(ATPE,ATPE (The Association of Texas Professional Educators),Austin,TX
On,SB 1,Grey,John,Specialist,Texas State Teachers Association,Austin,TX
On,SB 1,Guthrie,Brian,Director,Teacher Retirement System,,
On,SB 1,Henricksen,Aaron,Staff,LBB,,
On,SB 1,Hernandez,Demetrio,Staff,LBB,,
On,SB 1,Hollingsworth,"Jr., Lonnie",attorney,Texas Classroom Teachers Association,Austin,TX
On,SB 1,Horne,Michael,Superintendent,,Dallas,TX
On,SB 1,Kimball,Mandi,Affaors,Children At Risk,Missouri City,TX
On,SB 1,Lee,Tim,Director,Texas Retired Teachers Association,Austin,TX
On,SB 1,MacLaurin,Andy,Staff,LBB,,
On,SB 1,Mathias,HON. REV. DR. Jayme,Trustees,Texas Association of School Boards,,
On,SB 1,McGeady,John,Staff,LBB,,
On,SB 1,Morath,Mike,Education,Texas Education Agency,Austin,TX
On,SB 1,Moreno,Celina,attorney,MALDEF (MexianAmerican Legal Defense and Educational Fund),,
On,SB 1,Morse,Liz,ISD,Taxparency,Dallas,TX
On,SB 1,Motheral,Mike,Director,Small Rural School Finance Coalition,Lubbock,TX
On,SB 1,Quinzi,Patty,Counsel,TX American Federation of Teachers,Austin,TX
On,SB 1,Rome,Christy,Director,Texas School Coalition,Austin,TX
On,SB 1,Romero,Jesse,consultant,Texas Association for Bilingual Education,SA,TX
On,SB 1,Rubin,Stephanie,,Texans Care for Children,,
On,SB 1,Saxton,Josette,org.,Texans Care for Children,Austin,TX
